symbol,geneid,node2,node1_string_id,node2_string_id,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
SMAD7,4092,SNAI1,9606.ENSP00000262158,9606.ENSP00000244050,0.066,0.0,0.571,0.635
SMAD7,4092,IL1B,9606.ENSP00000262158,9606.ENSP00000263341,0.0,0.0,0.501,0.526
SMAD7,4092,EGF,9606.ENSP00000262158,9606.ENSP00000265171,0.0,0.0,0.419,0.418
SMAD7,4092,BMP6,9606.ENSP00000262158,9606.ENSP00000283147,0.095,0.0,0.554,0.587
MEIS1,4211,TAL1,9606.ENSP00000272369,9606.ENSP00000294339,0.047,0.0,0.519,0.53
MMP9,4318,FOSL1,9606.ENSP00000361405,9606.ENSP00000310170,0.0,0.0,0.439,0.439
MMP9,4318,CLU,9606.ENSP00000361405,9606.ENSP00000315130,0.292,0.0,0.614,0.718
MMP9,4318,F2R,9606.ENSP00000361405,9606.ENSP00000321326,0.05,0.0,0.432,0.441
MMP9,4318,CCR8,9606.ENSP00000361405,9606.ENSP00000326432,0.0,0.0,0.399,0.401
MMP9,4318,PLAUR,9606.ENSP00000361405,9606.ENSP00000339328,0.0,0.0,0.738,0.772
MMP9,4318,H3C12,9606.ENSP00000361405,9606.ENSP00000352252,0.0,0.0,0.663,0.668
MMP9,4318,COL18A1,9606.ENSP00000361405,9606.ENSP00000352798,0.238,0.75,0.588,0.92
MMP9,4318,PTGS2,9606.ENSP00000361405,9606.ENSP00000356438,0.0,0.0,0.785,0.815
GADD45B,4616,CSRNP1,9606.ENSP00000215631,9606.ENSP00000273153,0.0,0.0,0.378,0.858
GADD45B,4616,CCNB2,9606.ENSP00000215631,9606.ENSP00000288207,0.0,0.9,0.298,0.926
NPAS2,4862,PER1,9606.ENSP00000338283,9606.ENSP00000314420,0.746,0.5,0.354,0.91
NRGN,4900,TUBB1,9606.ENSP00000284292,9606.ENSP00000217133,0.0,0.0,0.193,0.526
NRGN,4900,ACRBP,9606.ENSP00000284292,9606.ENSP00000229243,0.0,0.0,0.125,0.446
NR4A2,4929,PTGS2,9606.ENSP00000344479,9606.ENSP00000356438,0.061,0.0,0.32,0.524
OSM,5008,IL1B,9606.ENSP00000215781,9606.ENSP00000263341,0.0,0.0,0.62,0.749
OSM,5008,ICAM1,9606.ENSP00000215781,9606.ENSP00000264832,0.0,0.0,0.369,0.401
OSM,5008,EGF,9606.ENSP00000215781,9606.ENSP00000265171,0.0,0.0,0.577,0.577
PCSK6,5046,EOMES,9606.ENSP00000482760,9606.ENSP00000388620,0.046,0.0,0.482,0.495
G0S2,50486,PTGS2,9606.ENSP00000355996,9606.ENSP00000356438,0.0,0.0,0.181,0.436
PBX1,5087,LOC102723407,9606.ENSP00000405890,9606.ENSP00000478289,0.0,0.0,0.506,0.506
CLEC1B,51266,TUBB1,9606.ENSP00000298527,9606.ENSP00000217133,0.103,0.0,0.088,0.546
CLEC1B,51266,ACRBP,9606.ENSP00000298527,9606.ENSP00000229243,0.0,0.0,0.065,0.451
CLEC1B,51266,SELP,9606.ENSP00000298527,9606.ENSP00000263686,0.0,0.0,0.712,0.78
CLEC1B,51266,ICAM1,9606.ENSP00000298527,9606.ENSP00000264832,0.0,0.0,0.509,0.534
CLEC1B,51266,PF4,9606.ENSP00000298527,9606.ENSP00000296029,0.0,0.0,0.582,0.71
TNFRSF12A,51330,FOSL1,9606.ENSP00000326737,9606.ENSP00000310170,0.0,0.0,0.196,0.401
TNFRSF12A,51330,PLAUR,9606.ENSP00000326737,9606.ENSP00000339328,0.0,0.0,0.242,0.422
TUBA8,51807,TUBB6,9606.ENSP00000333326,9606.ENSP00000318697,0.287,0.65,0.811,0.964
TUBA8,51807,H2BC21,9606.ENSP00000333326,9606.ENSP00000358151,0.0,0.0,0.467,0.467
PER1,5187,NPAS2,9606.ENSP00000314420,9606.ENSP00000338283,0.746,0.5,0.354,0.91
PF4,5196,TUBB1,9606.ENSP00000296029,9606.ENSP00000217133,0.0,0.0,0.226,0.623
PF4,5196,TNFAIP6,9606.ENSP00000296029,9606.ENSP00000243347,0.405,0.0,0.172,0.497
PF4,5196,IL1B,9606.ENSP00000296029,9606.ENSP00000263341,0.0,0.0,0.604,0.622
PF4,5196,SELP,9606.ENSP00000296029,9606.ENSP00000263686,0.0,0.0,0.905,0.921
PF4,5196,ICAM1,9606.ENSP00000296029,9606.ENSP00000264832,0.0,0.0,0.524,0.524
PF4,5196,EGF,9606.ENSP00000296029,9606.ENSP00000265171,0.0,0.0,0.617,0.625
PF4,5196,CXCL5,9606.ENSP00000296029,9606.ENSP00000296027,0.0,0.4,0.163,0.527
PF4,5196,CLEC1B,9606.ENSP00000296029,9606.ENSP00000298527,0.0,0.0,0.582,0.71
PLAUR,5329,FOSL1,9606.ENSP00000339328,9606.ENSP00000310170,0.0,0.0,0.358,0.503
PLAUR,5329,TNFRSF12A,9606.ENSP00000339328,9606.ENSP00000326737,0.0,0.0,0.242,0.422
PLAUR,5329,PTGS2,9606.ENSP00000339328,9606.ENSP00000356438,0.0,0.0,0.348,0.489
PLAUR,5329,MMP9,9606.ENSP00000339328,9606.ENSP00000361405,0.0,0.0,0.738,0.772
SEPTIN5,5413,GP1BB,9606.ENSP00000391311,9606.ENSP00000383382,0.0,0.0,0.897,0.902
P3H2,55214,COL18A1,9606.ENSP00000316881,9606.ENSP00000352798,0.0,0.5,0.229,0.607
PLAAT1,57110,THBD,9606.ENSP00000498228,9606.ENSP00000366307,0.102,0.0,0.497,0.531
PTGS2,5743,FOSL1,9606.ENSP00000356438,9606.ENSP00000310170,0.0,0.0,0.391,0.455
PTGS2,5743,PLAUR,9606.ENSP00000356438,9606.ENSP00000339328,0.0,0.0,0.348,0.489
PTGS2,5743,NR4A2,9606.ENSP00000356438,9606.ENSP00000344479,0.061,0.0,0.32,0.524
PTGS2,5743,G0S2,9606.ENSP00000356438,9606.ENSP00000355996,0.0,0.0,0.181,0.436
PTGS2,5743,MMP9,9606.ENSP00000356438,9606.ENSP00000361405,0.0,0.0,0.785,0.815
PTX3,5806,IGFBP2,9606.ENSP00000295927,9606.ENSP00000233809,0.0,0.0,0.395,0.404
PTX3,5806,TNFAIP6,9606.ENSP00000295927,9606.ENSP00000243347,0.405,0.0,0.95,0.975
PTX3,5806,IL1B,9606.ENSP00000295927,9606.ENSP00000263341,0.0,0.0,0.582,0.601
PTX3,5806,SELP,9606.ENSP00000295927,9606.ENSP00000263686,0.0,0.0,0.931,0.933
PTX3,5806,ICAM1,9606.ENSP00000295927,9606.ENSP00000264832,0.0,0.0,0.419,0.446
RAB27B,5874,SELP,9606.ENSP00000262094,9606.ENSP00000263686,0.0,0.4,0.136,0.471
BCL3,602,IL1B,9606.ENSP00000164227,9606.ENSP00000263341,0.0,0.0,0.657,0.719
BCL3,602,ICAM1,9606.ENSP00000164227,9606.ENSP00000264832,0.0,0.0,0.545,0.666
RRM2,6241,CDCA7,9606.ENSP00000353770,9606.ENSP00000306968,0.0,0.0,0.424,0.613
RRM2,6241,AURKB,9606.ENSP00000353770,9606.ENSP00000313950,0.0,0.0,0.596,0.84
RRM2,6241,UBE2C,9606.ENSP00000353770,9606.ENSP00000348838,0.068,0.0,0.749,0.931
RRM2,6241,E2F2,9606.ENSP00000353770,9606.ENSP00000355249,0.0,0.0,0.354,0.435
